"film_id","title","description","release_year","language_id","rental_duration","rental_rate","length","replacement_cost","rating","last_update","special_features","fulltext"
747,"Roxanne Rebel","A Astounding Story of a Pastry Chef And a Database Administrator who must Fight a Man in The Outback",2006,1,5,"0.99",171,"9.99","R","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'administr':13 'astound':4 'chef':9 'databas':12 'fight':16 'man':18 'must':15 'outback':21 'pastri':8 'rebel':2 'roxann':1 'stori':5"
732,"Rings Heartbreakers","A Amazing Yarn of a Sumo Wrestler And a Boat who must Conquer a Waitress in New Orleans",2006,1,5,"0.99",58,"17.99","G","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'amaz':4 'boat':12 'conquer':15 'heartbreak':2 'must':14 'new':19 'orlean':20 'ring':1 'sumo':8 'waitress':17 'wrestler':9 'yarn':5"
358,"Gilmore Boiled","A Unbelieveable Documentary of a Boat And a Husband who must Succumb a Student in A U-Boat",2006,1,5,"0.99",163,"29.99","R","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'boat':8,21 'boil':2 'documentari':5 'gilmor':1 'husband':11 'must':13 'student':16 'succumb':14 'u':20 'u-boat':19 'unbeliev':4"
147,"Chocolat Harry","A Action-Packed Epistle of a Dentist And a Moose who must Meet a Mad Cow in Ancient Japan",2006,1,5,"0.99",101,"16.99","NC-17","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'action':5 'action-pack':4 'ancient':21 'chocolat':1 'cow':19 'dentist':10 'epistl':7 'harri':2 'japan':22 'mad':18 'meet':16 'moos':13 'must':15 'pack':6"
722,"Reef Salute","A Action-Packed Saga of a Teacher And a Lumberjack who must Battle a Dentist in A Baloon",2006,1,5,"0.99",123,"26.99","NC-17","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'action':5 'action-pack':4 'baloon':21 'battl':16 'dentist':18 'lumberjack':13 'must':15 'pack':6 'reef':1 'saga':7 'salut':2 'teacher':10"
636,"Oleander Clue","A Boring Story of a Teacher And a Monkey who must Succumb a Forensic Psychologist in A Jet Boat",2006,1,5,"0.99",161,"12.99","PG","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'boat':21 'bore':4 'clue':2 'forens':16 'jet':20 'monkey':11 'must':13 'oleand':1 'psychologist':17 'stori':5 'succumb':14 'teacher':8"
862,"Summer Scarface","A Emotional Panorama of a Lumberjack And a Hunter who must Meet a Girl in A Shark Tank",2006,1,5,"0.99",53,"25.99","G","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'emot':4 'girl':16 'hunter':11 'lumberjack':8 'meet':14 'must':13 'panorama':5 'scarfac':2 'shark':19 'summer':1 'tank':20"
613,"Mystic Truman","A Epic Yarn of a Teacher And a Hunter who must Outgun a Explorer in Soviet Georgia",2006,1,5,"0.99",92,"19.99","NC-17","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'epic':4 'explor':16 'georgia':19 'hunter':11 'must':13 'mystic':1 'outgun':14 'soviet':18 'teacher':8 'truman':2 'yarn':5"
388,"Gunfight Moon","A Epic Reflection of a Pastry Chef And a Explorer who must Reach a Dentist in The Sahara Desert",2006,1,5,"0.99",70,"16.99","NC-17","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'chef':9 'dentist':17 'desert':21 'epic':4 'explor':12 'gunfight':1 'moon':2 'must':14 'pastri':8 'reach':15 'reflect':5 'sahara':20"
890,"Tights Dawn","A Thrilling Epistle of a Boat And a Secret Agent who must Face a Boy in A Baloon",2006,1,5,"0.99",172,"14.99","R","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'agent':12 'baloon':20 'boat':8 'boy':17 'dawn':2 'epistl':5 'face':15 'must':14 'secret':11 'thrill':4 'tight':1"
406,"Haunting Pianist","A Fast-Paced Story of a Database Administrator And a Composer who must Defeat a Squirrel in An Abandoned Amusement Park",2006,1,5,"0.99",181,"22.99","R","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'abandon':22 'administr':11 'amus':23 'compos':14 'databas':10 'defeat':17 'fast':5 'fast-pac':4 'haunt':1 'must':16 'pace':6 'park':24 'pianist':2 'squirrel':19 'stori':7"
407,"Hawk Chill","A Action-Packed Drama of a Mad Scientist And a Composer who must Outgun a Car in Australia",2006,1,5,"0.99",47,"12.99","PG-13","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'action':5 'action-pack':4 'australia':21 'car':19 'chill':2 'compos':14 'drama':7 'hawk':1 'mad':10 'must':16 'outgun':17 'pack':6 'scientist':11"
945,"Virginian Pluto","A Emotional Panorama of a Dentist And a Crocodile who must Meet a Boy in Berlin",2006,1,5,"0.99",164,"22.99","R","2013-05-26 14:50:58.951","{""Deleted Scenes""}","'berlin':18 'boy':16 'crocodil':11 'dentist':8 'emot':4 'meet':14 'must':13 'panorama':5 'pluto':2 'virginian':1"
417,"Hills Neighbors","A Epic Display of a Hunter And a Feminist who must Sink a Car in A U-Boat",2006,1,5,"0.99",93,"29.99","G","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'boat':21 'car':16 'display':5 'epic':4 'feminist':11 'hill':1 'hunter':8 'must':13 'neighbor':2 'sink':14 'u':20 'u-boat':19"
418,"Hobbit Alien","A Emotional Drama of a Husband And a Girl who must Outgun a Composer in The First Manned Space Station",2006,1,5,"0.99",157,"27.99","PG-13","2013-05-26 14:50:58.951","{Commentaries}","'alien':2 'compos':16 'drama':5 'emot':4 'first':19 'girl':11 'hobbit':1 'husband':8 'man':20 'must':13 'outgun':14 'space':21 'station':22"
602,"Mourning Purple","A Lacklusture Display of a Waitress And a Lumberjack who must Chase a Pioneer in New Orleans",2006,1,5,"0.99",146,"14.99","PG","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'chase':14 'display':5 'lacklustur':4 'lumberjack':11 'mourn':1 'must':13 'new':18 'orlean':19 'pioneer':16 'purpl':2 'waitress':8"
840,"Stampede Disturbing","A Unbelieveable Tale of a Woman And a Lumberjack who must Fight a Frisbee in A U-Boat",2006,1,5,"0.99",75,"26.99","R","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'boat':21 'disturb':2 'fight':14 'frisbe':16 'lumberjack':11 'must':13 'stamped':1 'tale':5 'u':20 'u-boat':19 'unbeliev':4 'woman':8"
168,"Comancheros Enemy","A Boring Saga of a Lumberjack And a Monkey who must Find a Monkey in The Gulf of Mexico",2006,1,5,"0.99",67,"23.99","R","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'bore':4 'comanchero':1 'enemi':2 'find':14 'gulf':19 'lumberjack':8 'mexico':21 'monkey':11,16 'must':13 'saga':5"
427,"Homeward Cider","A Taut Reflection of a Astronaut And a Squirrel who must Fight a Squirrel in A Manhattan Penthouse",2006,1,5,"0.99",103,"19.99","R","2013-05-26 14:50:58.951","{Trailers}","'astronaut':8 'cider':2 'fight':14 'homeward':1 'manhattan':19 'must':13 'penthous':20 'reflect':5 'squirrel':11,16 'taut':4"
600,"Motions Details","A Awe-Inspiring Reflection of a Dog And a Student who must Kill a Car in An Abandoned Fun House",2006,1,5,"0.99",166,"16.99","PG","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'abandon':21 'awe':5 'awe-inspir':4 'car':18 'detail':2 'dog':10 'fun':22 'hous':23 'inspir':6 'kill':16 'motion':1 'must':15 'reflect':7 'student':13"
91,"Bound Cheaper","A Thrilling Panorama of a Database Administrator And a Astronaut who must Challenge a Lumberjack in A Baloon",2006,1,5,"0.99",98,"17.99","PG","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'administr':9 'astronaut':12 'baloon':20 'bound':1 'challeng':15 'cheaper':2 'databas':8 'lumberjack':17 'must':14 'panorama':5 'thrill':4"
935,"Vanished Garden","A Intrepid Character Study of a Squirrel And a A Shark who must Kill a Lumberjack in California",2006,1,5,"0.99",142,"17.99","R","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'california':20 'charact':5 'garden':2 'intrepid':4 'kill':16 'lumberjack':18 'must':15 'shark':13 'squirrel':9 'studi':6 'vanish':1"
457,"Independence Hotel","A Thrilling Tale of a Technical Writer And a Boy who must Face a Pioneer in A Monastery",2006,1,5,"0.99",157,"21.99","NC-17","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'boy':12 'face':15 'hotel':2 'independ':1 'monasteri':20 'must':14 'pioneer':17 'tale':5 'technic':8 'thrill':4 'writer':9"
54,"Banger Pinocchio","A Awe-Inspiring Drama of a Car And a Pastry Chef who must Chase a Crocodile in The First Manned Space Station",2006,1,5,"0.99",113,"15.99","R","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'awe':5 'awe-inspir':4 'banger':1 'car':10 'chase':17 'chef':14 'crocodil':19 'drama':7 'first':22 'inspir':6 'man':23 'must':16 'pastri':13 'pinocchio':2 'space':24 'station':25"
992,"Wrath Mile","A Intrepid Reflection of a Technical Writer And a Hunter who must Defeat a Sumo Wrestler in A Monastery",2006,1,5,"0.99",176,"17.99","NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'defeat':15 'hunter':12 'intrepid':4 'mile':2 'monasteri':21 'must':14 'reflect':5 'sumo':17 'technic':8 'wrath':1 'wrestler':18 'writer':9"
477,"Jawbreaker Brooklyn","A Stunning Reflection of a Boat And a Pastry Chef who must Succumb a A Shark in A Jet Boat",2006,1,5,"0.99",118,"15.99","PG","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'boat':8,22 'brooklyn':2 'chef':12 'jawbreak':1 'jet':21 'must':14 'pastri':11 'reflect':5 'shark':18 'stun':4 'succumb':15"
552,"Majestic Floats","A Thrilling Character Study of a Moose And a Student who must Escape a Butler in The First Manned Space Station",2006,1,5,"0.99",130,"15.99","PG","2013-05-26 14:50:58.951","{Trailers}","'butler':17 'charact':5 'escap':15 'first':20 'float':2 'majest':1 'man':21 'moos':9 'must':14 'space':22 'station':23 'student':12 'studi':6 'thrill':4"
886,"Theory Mermaid","A Fateful Yarn of a Composer And a Monkey who must Vanquish a Womanizer in The First Manned Space Station",2006,1,5,"0.99",184,"9.99","PG-13","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'compos':8 'fate':4 'first':19 'man':20 'mermaid':2 'monkey':11 'must':13 'space':21 'station':22 'theori':1 'vanquish':14 'woman':16 'yarn':5"
493,"Kane Exorcist","A Epic Documentary of a Composer And a Robot who must Overcome a Car in Berlin",2006,1,5,"0.99",92,"18.99","R","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'berlin':18 'car':16 'compos':8 'documentari':5 'epic':4 'exorcist':2 'kane':1 'must':13 'overcom':14 'robot':11"
504,"Kwai Homeward","A Amazing Drama of a Car And a Squirrel who must Pursue a Car in Soviet Georgia",2006,1,5,"0.99",46,"25.99","PG-13","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'amaz':4 'car':8,16 'drama':5 'georgia':19 'homeward':2 'kwai':1 'must':13 'pursu':14 'soviet':18 'squirrel':11"
509,"Language Cowboy","A Epic Yarn of a Cat And a Madman who must Vanquish a Dentist in An Abandoned Amusement Park",2006,1,5,"0.99",78,"26.99","NC-17","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'abandon':19 'amus':20 'cat':8 'cowboy':2 'dentist':16 'epic':4 'languag':1 'madman':11 'must':13 'park':21 'vanquish':14 'yarn':5"
534,"Louisiana Harry","A Lacklusture Drama of a Girl And a Technical Writer who must Redeem a Monkey in A Shark Tank",2006,1,5,"0.99",70,"18.99","PG-13","2013-05-26 14:50:58.951","{Trailers}","'drama':5 'girl':8 'harri':2 'lacklustur':4 'louisiana':1 'monkey':17 'must':14 'redeem':15 'shark':20 'tank':21 'technic':11 'writer':12"
839,"Stallion Sundance","A Fast-Paced Tale of a Car And a Dog who must Outgun a A Shark in Australia",2006,1,5,"0.99",130,"23.99","PG-13","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'australia':21 'car':10 'dog':13 'fast':5 'fast-pac':4 'must':15 'outgun':16 'pace':6 'shark':19 'stallion':1 'sundanc':2 'tale':7"
833,"Splendor Patton","A Taut Story of a Dog And a Explorer who must Find a Astronaut in Berlin",2006,1,5,"0.99",134,"20.99","R","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'astronaut':16 'berlin':18 'dog':8 'explor':11 'find':14 'must':13 'patton':2 'splendor':1 'stori':5 'taut':4"
39,"Armageddon Lost","A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft",2006,1,5,"0.99",99,"10.99","G","2013-05-26 14:50:58.951","{Trailers}","'abandon':21 'armageddon':1 'boat':10 'compos':18 'fast':5 'fast-pac':4 'lost':2 'mine':22 'must':15 'pace':6 'shaft':23 'succumb':16 'tale':7 'teacher':13"
832,"Splash Gump","A Taut Saga of a Crocodile And a Boat who must Conquer a Hunter in A Shark Tank",2006,1,5,"0.99",175,"16.99","PG","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'boat':11 'conquer':14 'crocodil':8 'gump':2 'hunter':16 'must':13 'saga':5 'shark':19 'splash':1 'tank':20 'taut':4"
831,"Spirited Casualties","A Taut Story of a Waitress And a Man who must Face a Car in A Baloon Factory",2006,1,5,"0.99",138,"20.99","PG-13","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'baloon':19 'car':16 'casualti':2 'face':14 'factori':20 'man':11 'must':13 'spirit':1 'stori':5 'taut':4 'waitress':8"
868,"Superfly Trip","A Beautiful Saga of a Lumberjack And a Teacher who must Build a Technical Writer in An Abandoned Fun House",2006,1,5,"0.99",114,"27.99","PG","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'abandon':20 'beauti':4 'build':14 'fun':21 'hous':22 'lumberjack':8 'must':13 'saga':5 'superfli':1 'teacher':11 'technic':16 'trip':2 'writer':17"
261,"Duffel Apocalypse","A Emotional Display of a Boat And a Explorer who must Challenge a Madman in A MySQL Convention",2006,1,5,"0.99",171,"13.99","G","2013-05-26 14:50:58.951","{Commentaries}","'apocalyps':2 'boat':8 'challeng':14 'convent':20 'display':5 'duffel':1 'emot':4 'explor':11 'madman':16 'must':13 'mysql':19"
262,"Dumbo Lust","A Touching Display of a Feminist And a Dentist who must Conquer a Husband in The Gulf of Mexico",2006,1,5,"0.99",119,"17.99","NC-17","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'conquer':14 'dentist':11 'display':5 'dumbo':1 'feminist':8 'gulf':19 'husband':16 'lust':2 'mexico':21 'must':13 'touch':4"
810,"Slums Duck","A Amazing Character Study of a Teacher And a Database Administrator who must Defeat a Waitress in A Jet Boat",2006,1,5,"0.99",147,"21.99","PG","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'administr':13 'amaz':4 'boat':22 'charact':5 'databas':12 'defeat':16 'duck':2 'jet':21 'must':15 'slum':1 'studi':6 'teacher':9 'waitress':18"
864,"Sundance Invasion","A Epic Drama of a Lumberjack And a Explorer who must Confront a Hunter in A Baloon Factory",2006,1,5,"0.99",92,"21.99","NC-17","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'baloon':19 'confront':14 'drama':5 'epic':4 'explor':11 'factori':20 'hunter':16 'invas':2 'lumberjack':8 'must':13 'sundanc':1"
809,"Slipper Fidelity","A Taut Reflection of a Secret Agent And a Man who must Redeem a Explorer in A MySQL Convention",2006,1,5,"0.99",156,"14.99","PG-13","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'agent':9 'convent':21 'explor':17 'fidel':2 'man':12 'must':14 'mysql':20 'redeem':15 'reflect':5 'secret':8 'slipper':1 'taut':4"
863,"Sun Confessions","A Beautiful Display of a Mad Cow And a Dog who must Redeem a Waitress in An Abandoned Amusement Park",2006,1,5,"0.99",141,"9.99","R","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'abandon':20 'amus':21 'beauti':4 'confess':2 'cow':9 'display':5 'dog':12 'mad':8 'must':14 'park':22 'redeem':15 'sun':1 'waitress':17"
282,"Encounters Curtain","A Insightful Epistle of a Pastry Chef And a Womanizer who must Build a Boat in New Orleans",2006,1,5,"0.99",92,"20.99","NC-17","2013-05-26 14:50:58.951","{Trailers}","'boat':17 'build':15 'chef':9 'curtain':2 'encount':1 'epistl':5 'insight':4 'must':14 'new':19 'orlean':20 'pastri':8 'woman':12"
963,"Watch Tracy","A Fast-Paced Yarn of a Dog And a Frisbee who must Conquer a Hunter in Nigeria",2006,1,5,"0.99",78,"12.99","PG","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'conquer':16 'dog':10 'fast':5 'fast-pac':4 'frisbe':13 'hunter':18 'must':15 'nigeria':20 'pace':6 'traci':2 'watch':1 'yarn':7"
998,"Zhivago Core","A Fateful Yarn of a Composer And a Man who must Face a Boy in The Canadian Rockies",2006,1,6,"0.99",105,"10.99","NC-17","2013-05-26 14:50:58.951","{""Deleted Scenes""}","'boy':16 'canadian':19 'compos':8 'core':2 'face':14 'fate':4 'man':11 'must':13 'rocki':20 'yarn':5 'zhivago':1"
11,"Alamo Videotape","A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention",2006,1,6,"0.99",126,"16.99","G","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'alamo':1 'bore':4 'butler':8 'cat':11 'chef':17 'convent':21 'epistl':5 'fight':14 'must':13 'mysql':20 'pastri':16 'videotap':2"
12,"Alaska Phantom","A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia",2006,1,6,"0.99",136,"22.99","PG","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'alaska':1 'australia':19 'boy':17 'chef':12 'fanci':4 'hunter':8 'must':14 'pastri':11 'phantom':2 'saga':5 'vanquish':15"
14,"Alice Fantasia","A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia",2006,1,6,"0.99",94,"23.99","NC-17","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'administr':13 'alic':1 'databas':12 'drama':5 'emot':4 'fantasia':2 'georgia':21 'must':15 'pioneer':18 'shark':9 'soviet':20 'vanquish':16"
18,"Alter Victory","A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies",2006,1,6,"0.99",57,"27.99","PG-13","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'agent':17 'alter':1 'canadian':20 'compos':8 'drama':5 'feminist':11 'meet':14 'must':13 'rocki':21 'secret':16 'thought':4 'victori':2"
19,"Amadeus Holy","A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon",2006,1,6,"0.99",113,"20.99","PG","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'amadeus':1 'baloon':20 'battl':15 'display':5 'emot':4 'holi':2 'man':17 'must':14 'pioneer':8 'technic':11 'writer':12"
34,"Arabia Dogma","A Touching Epistle of a Madman And a Mad Cow who must Defeat a Student in Nigeria",2006,1,6,"0.99",62,"29.99","NC-17","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'arabia':1 'cow':12 'defeat':15 'dogma':2 'epistl':5 'mad':11 'madman':8 'must':14 'nigeria':19 'student':17 'touch':4"
38,"Ark Ridgemont","A Beautiful Yarn of a Pioneer And a Monkey who must Pursue a Explorer in The Sahara Desert",2006,1,6,"0.99",68,"25.99","NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'ark':1 'beauti':4 'desert':20 'explor':16 'monkey':11 'must':13 'pioneer':8 'pursu':14 'ridgemont':2 'sahara':19 'yarn':5"
52,"Ballroom Mockingbird","A Thrilling Documentary of a Composer And a Monkey who must Find a Feminist in California",2006,1,6,"0.99",173,"29.99","G","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'ballroom':1 'california':18 'compos':8 'documentari':5 'feminist':16 'find':14 'mockingbird':2 'monkey':11 'must':13 'thrill':4"
63,"Bedazzled Married","A Astounding Character Study of a Madman And a Robot who must Meet a Mad Scientist in An Abandoned Fun House",2006,1,6,"0.99",73,"21.99","PG","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'abandon':21 'astound':4 'bedazzl':1 'charact':5 'fun':22 'hous':23 'mad':17 'madman':9 'marri':2 'meet':15 'must':14 'robot':12 'scientist':18 'studi':6"
64,"Beethoven Exorcist","A Epic Display of a Pioneer And a Student who must Challenge a Butler in The Gulf of Mexico",2006,1,6,"0.99",151,"26.99","PG-13","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'beethoven':1 'butler':16 'challeng':14 'display':5 'epic':4 'exorcist':2 'gulf':19 'mexico':21 'must':13 'pioneer':8 'student':11"
66,"Beneath Rush","A Astounding Panorama of a Man And a Monkey who must Discover a Man in The First Manned Space Station",2006,1,6,"0.99",53,"27.99","NC-17","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'astound':4 'beneath':1 'discov':14 'first':19 'man':8,16,20 'monkey':11 'must':13 'panorama':5 'rush':2 'space':21 'station':22"
105,"Bull Shawshank","A Fanciful Drama of a Moose And a Squirrel who must Conquer a Pioneer in The Canadian Rockies",2006,1,6,"0.99",125,"21.99","NC-17","2013-05-26 14:50:58.951","{""Deleted Scenes""}","'bull':1 'canadian':19 'conquer':14 'drama':5 'fanci':4 'moos':8 'must':13 'pioneer':16 'rocki':20 'shawshank':2 'squirrel':11"
108,"Butch Panther","A Lacklusture Yarn of a Feminist And a Database Administrator who must Face a Hunter in New Orleans",2006,1,6,"0.99",67,"19.99","PG-13","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'administr':12 'butch':1 'databas':11 'face':15 'feminist':8 'hunter':17 'lacklustur':4 'must':14 'new':19 'orlean':20 'panther':2 'yarn':5"
119,"Caper Motions","A Fateful Saga of a Moose And a Car who must Pursue a Woman in A MySQL Convention",2006,1,6,"0.99",176,"22.99","G","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'caper':1 'car':11 'convent':20 'fate':4 'moos':8 'motion':2 'must':13 'mysql':19 'pursu':14 'saga':5 'woman':16"
132,"Chainsaw Uptown","A Beautiful Documentary of a Boy And a Robot who must Discover a Squirrel in Australia",2006,1,6,"0.99",114,"25.99","PG","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'australia':18 'beauti':4 'boy':8 'chainsaw':1 'discov':14 'documentari':5 'must':13 'robot':11 'squirrel':16 'uptown':2"
140,"Cheaper Clyde","A Emotional Character Study of a Pioneer And a Girl who must Discover a Dog in Ancient Japan",2006,1,6,"0.99",87,"23.99","G","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'ancient':19 'charact':5 'cheaper':1 'clyde':2 'discov':15 'dog':17 'emot':4 'girl':12 'japan':20 'must':14 'pioneer':9 'studi':6"
143,"Chill Luck","A Lacklusture Epistle of a Boat And a Technical Writer who must Fight a A Shark in The Canadian Rockies",2006,1,6,"0.99",142,"17.99","PG","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'boat':8 'canadian':21 'chill':1 'epistl':5 'fight':15 'lacklustur':4 'luck':2 'must':14 'rocki':22 'shark':18 'technic':11 'writer':12"
